words,asia,us,europe
your,19,19,13
in,14,14,10
the,9,9,6
a,9,9,6
key,7,9,4
list,7,7,5
The,8,10,5
item,8,10,5
image,6,6,4
link,6,6,4
to,6,6,5
Web,6,6,4
site,6,6,4
page,6,6,4
My,3,3,2
First,3,3,2
HTML,3,3,2
File,3,3,2
Enter,3,3,2
main,3,3,2
heading,3,3,2
usually,3,3,2
same,3,3,2
as,3,3,2
title,3,3,2
Be,3,3,2
bold,3,3,2
stating,3,3,2
points,3,3,2
Put,3,3,2
them,3,3,2
first,3,3,3
second,3,3,3
italicize,4,6,2
words,4,6,2
Improve,3,3,2
by,3,3,2
including,3,3,2
an,3,3,2
Add,3,3,2
favorite,3,3,2
Break,3,3,2
up,3,3,2
with,3,3,2
horizontal,3,3,2
rule,3,3,2
or,3,3,2
two,3,3,2
Finally,3,3,2
another,3,3,2
own,3,3,2
Wiley,3,3,2
Publishing,3,3,2
2011,3,3,2
third,1,2,0
fourth,0,1,0
does,0,0,1
not,0,0,1
exist,0,0,1
DO,0,0,1
you,0,0,1
still,0,0,1
want,0,0,1
for,0,0,1
Second,1,1,0
sentence,1,1,0
python,2,2,2
Let,1,1,1
s,1,1,1
do,1,1,1
something,1,1,1
different,1,1,1
We,1,1,1
can,1,1,1
create,1,1,1
some,1,1,1
automation,1,1,1
using,1,1,1
